record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
group,sst_omega,nan,sst_303_305,strong_subsidence,353.0,353.0,77503.0,block,-1.9491955703150787,-1.9483420165893504,0.01707668643165908,-1.980678220873134,-1.913559059808743,-1.9863282442092896,-2.01077938079834,-1.9599343538284302,5.6746200601781045e-05,0.0005282600459627208,248.17545403667145,303.0,305.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,strong_ascent,13.0,13.0,238.0,block,-1.9328947892555823,-1.9333739872253857,0.13857492616251618,-2.1955554150618037,-1.669702706199426,-1.8118422031402588,-2.3657541275024414,-1.6028226613998413,6.093134344644988e-05,0.0005561211784459794,250.61972803767247,305.0,307.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,weak_ascent,11.0,11.0,140.0,block,-1.848183187571439,-1.8491913033398715,0.1692109898146782,-2.1998083358461207,-1.536718933690678,-1.727993369102478,-2.1821937561035156,-1.4296847581863403,5.4298511052117895e-05,0.00042664196172898465,261.53510612365943,305.0,307.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,neutral,11.0,11.0,83.0,block,-1.939829100262035,-1.9452925447984173,0.0975908636478684,-2.1330927623943845,-1.754718219962987,-1.9951496124267578,-2.221787929534912,-1.5854647159576416,5.951897268956104e-05,0.0005244044613474133,272.9665636029524,305.0,307.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,weak_subsidence,15.0,15.0,150.0,block,-1.5024065275986989,-1.5138714742819468,0.20285089280398216,-1.8902149568498134,-1.1126305778324606,-1.5418574810028076,-2.2849202156066895,-1.284239649772644,5.339704124101748e-05,0.0003450649112589114,277.6392181800595,305.0,307.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,strong_subsidence,17.0,17.0,357.0,block,-1.758170674828922,-1.7613463458664278,0.1302547364675726,-2.015894377757521,-1.5133696431622785,-1.7725101709365845,-1.974253535270691,-1.4670082330703735,6.21825570038602e-05,0.0004895438974284951,265.98658910748384,305.0,307.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_only,nan,sst_297_300,all,2174.0,454.0,880299.0,block,-1.5882248151079232,-1.5879851003797036,0.014682896535414497,-1.6166559585941125,-1.5597827420496226,-1.5679258108139038,-1.6053627997636795,-1.5371604800224303,3.730597743066135e-05,0.0002632536243220967,273.14257937041424,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_only,nan,sst_300_303,all,2377.0,478.0,2074816.0,block,-1.8197967426888222,-1.8198175030746404,0.011452108313283419,-1.8420235208839921,-1.7976544944529578,-1.8322644233703613,-1.861830621957779,-1.8047577142715454,4.762781723099832e-05,0.0004154541845455502,256.47316014720144,300.0,303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_only,nan,sst_303_305,all,1697.0,374.0,239386.0,block,-1.971554339817809,-1.9718277531612283,0.010882015046195858,-1.9924974794367805,-1.950905115555778,-2.0093348026275635,-2.0293444395065308,-1.9863861203193665,5.626924773504452e-05,0.0005364644071182167,248.32807408904245,303.0,305.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_only,nan,sst_305_307,all,67.0,25.0,968.0,block,-1.7794144300382528,-1.7812994967783924,0.06517004702376529,-1.920262956848795,-1.6667771783317367,-1.7982832193374634,-1.9951496124267578,-1.56850928068161,5.824117721855526e-05,0.00046551202834039097,266.02888237329233,305.0,307.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
